Distance,Vitesse
0.15400001406669617,5
0.12600000202655792,0
0.13900001347064972,0
0.13900001347064972,0
0.13700000941753387,0
0.13700000941753387,0
0.13700000941753387,0
0.13700000941753387,0
0.13700000941753387,0
0.13700000941753387,0
0.13700000941753387,0
0.13700000941753387,0
0.13700000941753387,0
0.13900001347064972,0
0.13700000941753387,0
0.12600000202655792,0
0.11400000751018524,0
0.10300000756978989,0
0.0990000069141388,0
0.10100000351667404,0
0.09400000423192978,0
0.0950000062584877,0
0.09100000560283661,0
0.09400000423192978,0
0.0950000062584877,0
0.0950000062584877,0
0.0950000062584877,0
0.0950000062584877,0
0.0950000062584877,0
0.10300000756978989,0
0.10300000756978989,0
0.1120000034570694,0
0.11300000548362732,0
0.1210000067949295,0
0.1300000101327896,0
0.14500001072883606,0
0.15400001406669617,5
0.16600000858306885,22
0.17500001192092896,34
0.17900000512599945,40
0.1850000023841858,48
0.18900001049041748,54
0.1900000125169754,55
0.20400001108646393,75
0.21300001442432404,87
0.21300001442432404,87
0.21700000762939453,93
0.21900001168251038,96
0.22100001573562622,98
0.22100001573562622,98
0.2200000137090683,97
0.2200000137090683,97
0.22500000894069672,104
0.2290000170469284,110
0.22800001502037048,108
0.23900000751018524,123
0.24700000882148743,135
0.2630000114440918,157
0.26500001549720764,160
0.27300000190734863,171
0.28200000524520874,183
0.29600000381469727,203
0.30800002813339233,220
0.32600000500679016,245
0.3360000252723694,259
0.3570000231266022,288
0.3620000183582306,295
0.3760000169277191,314
0.3760000169277191,314
0.39100003242492676,335
0.40800002217292786,348
0.42500001192092896,348
0.4360000193119049,348
0.4480000138282776,348
0.45500001311302185,348
0.4740000367164612,348
0.48100003600120544,348
0.4830000102519989,348
0.32600000500679016,245
0.32600000500679016,245
0.5110000371932983,348
0.5190000534057617,348
0.32600000500679016,245
0.5320000052452087,348
0.5360000133514404,348
0.32600000500679016,245
0.32600000500679016,245
0.5460000038146973,348
0.5550000071525574,348
0.5550000071525574,348
0.5590000152587891,348
0.33000001311302185,250
0.32600000500679016,245
0.328000009059906,247
0.32600000500679016,245
0.33000001311302185,250
0.3290000259876251,249
0.5860000252723694,348
0.581000030040741,348
0.34800001978874207,275
0.3570000231266022,288
0.578000009059906,348
0.578000009059906,348
0.578000009059906,348
0.578000009059906,348
0.5820000171661377,348
0.5900000333786011,348
0.5900000333786011,348
0.597000002861023,348
0.5800000429153442,348
0.5730000138282776,348
0.5740000009536743,348
0.5630000233650208,348
0.5720000267028809,348
0.5720000267028809,348
0.5670000314712524,348
0.5670000314712524,348
0.5630000233650208,348
0.562000036239624,348
0.5690000057220459,348
0.5720000267028809,348
0.5730000138282776,348
0.5800000429153442,348
0.581000030040741,348
0.5990000367164612,348
0.6070000529289246,348
0.5860000252723694,348
0.578000009059906,348
0.5630000233650208,348
0.5509999990463257,348
0.32600000500679016,245
0.32600000500679016,245
0.5190000534057617,348
0.5100000500679016,348
0.49900001287460327,348
0.4910000264644623,348
0.4830000102519989,348
0.47300001978874207,348
0.46400001645088196,348
0.4540000259876251,348
0.44700002670288086,348
0.4390000104904175,348
0.4280000329017639,348
0.42000001668930054,348
0.41600000858306885,348
0.4100000262260437,348
0.40300002694129944,348
0.3970000147819519,343
0.3850000202655792,327
0.3760000169277191,314
0.37400001287460327,311
0.3720000088214874,309
0.328000009059906,247
0.32600000500679016,245
0.32600000500679016,245
0.32100000977516174,238
0.33000001311302185,250
0.3290000259876251,249
0.328000009059906,247
0.32600000500679016,245
0.32100000977516174,238
0.32100000977516174,238
0.30400002002716064,214
0.3020000159740448,211
0.289000004529953,193
0.289000004529953,193
0.2880000174045563,192
0.281000018119812,182
0.27300000190734863,171
0.2710000276565552,168
0.26500001549720764,160
0.2630000114440918,157
0.2510000169277191,140
0.24900001287460327,137
0.24300001561641693,129
0.2410000115633011,126
0.2330000102519989,115
0.2290000170469284,110
0.22700001299381256,107
0.2200000137090683,97
0.21700000762939453,93
0.2110000103712082,84
0.20500001311302185,76
0.1980000138282776,66
0.19700001180171967,65
0.1900000125169754,55
0.19500000774860382,62
0.19700001180171967,65
0.1980000138282776,66
0.2120000123977661,86
0.22800001502037048,108
0.24300001561641693,129
0.24700000882148743,135
0.25699999928474426,149
0.2630000114440918,157
0.2670000195503235,162
0.281000018119812,182
0.2900000214576721,194
0.2970000207424164,204
0.30800002813339233,220
0.32100000977516174,238
0.3290000259876251,249
0.3400000035762787,264
0.34800001978874207,275
0.36400002241134644,298
0.3760000169277191,314
0.3890000283718109,332
0.41200003027915955,348
0.42000001668930054,348
0.3970000147819519,343
0.3830000162124634,324
0.3570000231266022,288
0.33800002932548523,261
0.32100000977516174,238
0.2980000078678131,206
0.27300000190734863,171
0.25699999928474426,149
0.242000013589859,128
0.2200000137090683,97
0.21700000762939453,93
0.2110000103712082,84
0.20500001311302185,76
0.1990000158548355,68
0.19500000774860382,62
0.19500000774860382,62
0.19500000774860382,62
0.19700001180171967,65
0.21300001442432404,87
0.22500000894069672,104
0.2370000183582306,121
0.24900001287460327,137
0.2630000114440918,157
0.2800000011920929,181
0.2880000174045563,192
0.2970000207424164,204
0.32600000500679016,245
0.3360000252723694,259
0.34700000286102295,274
0.37400001287460327,311
0.39100003242492676,335
0.40800002217292786,348
0.41600000858306885,348
0.3920000195503235,337
0.3720000088214874,309
0.3530000150203705,282
0.32100000977516174,238
0.2970000207424164,204
0.27300000190734863,171
