Distance,Vitesse
0.0650000050663948,0
0.04000000283122063,0
0.05000000074505806,0
0.055000003427267075,0
0.055000003427267075,0
0.05000000074505806,0
0.049000002443790436,0
0.049000002443790436,0
0.049000002443790436,0
0.046000003814697266,0
0.046000003814697266,0
0.046000003814697266,0
0.046000003814697266,0
0.05100000277161598,0
0.04000000283122063,0
0.04400000348687172,0
0.05100000277161598,0
0.058000002056360245,0
0.07700000703334808,0
0.10700000822544098,0
0.13700000941753387,0
0.16600000858306885,0
0.18900001049041748,0
0.21300001442432404,22
0.2290000170469284,50
0.22800001502037048,50
0.22800001502037048,50
0.2330000102519989,57
0.2370000183582306,64
0.23600001633167267,64
0.2370000183582306,64
0.2370000183582306,64
0.23600001633167267,64
0.24300001561641693,75
0.2670000195503235,117
0.3020000159740448,178
0.32600000500679016,220
0.33400002121925354,234
0.34700000286102295,257
0.3530000150203705,268
0.3570000231266022,275
0.36100003123283386,282
0.37400001287460327,305
0.3760000169277191,308
0.3720000088214874,308
0.3720000088214874,308
0.3720000088214874,308
0.3720000088214874,308
0.3720000088214874,308
0.3660000264644623,308
0.36400002241134644,308
0.3570000231266022,308
0.3490000069141388,308
0.3400000035762787,308
0.3290000259876251,308
0.32100000977516174,308
0.30800002813339233,308
0.2939999997615814,308
0.27300000190734863,308
0.2590000033378601,308
0.2510000169277191,308
0.24300001561641693,308
0.2330000102519989,308
0.2200000137090683,308
0.2120000123977661,308
0.20600001513957977,308
0.20500001311302185,308
0.1990000158548355,308
0.19500000774860382,308
0.18400001525878906,238
0.18300001323223114,231
0.17400000989437103,168
0.1730000078678131,161
0.17000000178813934,140
0.17000000178813934,140
0.16600000858306885,112
0.164000004529953,98
0.16200000047683716,84
0.15800000727176666,56
0.15600000321865082,42
0.15800000727176666,42
0.15600000321865082,42
0.15400001406669617,28
0.14500001072883606,0
0.1380000114440918,0
0.13500000536441803,0
0.1300000101327896,0
0.1210000067949295,0
0.12200000882148743,0
0.12200000882148743,0
0.12200000882148743,0
0.12200000882148743,0
0.13500000536441803,0
0.1469999998807907,0
0.15400001406669617,0
0.164000004529953,0
0.17400000989437103,0
0.18900001049041748,0
0.1990000158548355,0
0.20900000631809235,15
0.22500000894069672,43
0.2370000183582306,64
0.24500000476837158,78
0.2510000169277191,89
0.2630000114440918,110
0.2800000011920929,140
0.289000004529953,156
0.320000022649765,210
0.32100000977516174,212
0.328000009059906,224
0.3400000035762787,245
0.36400002241134644,287
0.36400002241134644,287
0.39100003242492676,334
0.4100000262260437,350
0.41100001335144043,350
0.4270000159740448,350
0.4390000104904175,350
0.4520000219345093,350
0.4710000157356262,350
0.4740000367164612,350
0.48100003600120544,350
0.492000013589859,350
0.5,350
0.5040000081062317,350
0.5090000033378601,350
0.51500004529953,350
0.5190000534057617,350
0.5250000357627869,350
0.32600000500679016,350
0.32600000500679016,350
0.5350000262260437,350
0.5320000052452087,350
0.5170000195503235,350
0.4910000264644623,350
0.46400001645088196,350
0.44300001859664917,350
0.4180000126361847,350
0.42000001668930054,350
0.40800002217292786,350
0.3840000033378601,350
0.3660000264644623,350
0.35500001907348633,350
0.33400002121925354,350
0.32100000977516174,350
0.3060000240802765,350
0.289000004529953,350
0.28200000524520874,350
0.26500001549720764,350
0.2510000169277191,350
0.24300001561641693,350
0.2330000102519989,350
0.22100001573562622,350
0.21700000762939453,350
0.20900000631809235,350
0.1990000158548355,343
0.1900000125169754,280
0.1850000023841858,245
0.17400000989437103,168
0.1730000078678131,161
0.1680000126361847,126
0.17000000178813934,126
0.16600000858306885,112
0.16600000858306885,112
0.16600000858306885,112
0.16600000858306885,112
0.16600000858306885,112
0.16200000047683716,84
0.15400001406669617,28
0.15600000321865082,28
0.15400001406669617,28
0.14500001072883606,0
0.14500001072883606,0
0.1380000114440918,0
0.13700000941753387,0
0.13700000941753387,0
0.13700000941753387,0
0.1469999998807907,0
0.14900000393390656,0
0.15800000727176666,0
0.164000004529953,0
0.16500000655651093,0
0.17500001192092896,0
0.18300001323223114,0
0.18900001049041748,0
0.1990000158548355,0
0.203000009059906,5
0.20400001108646393,7
0.20400001108646393,7
0.21300001442432404,22
0.2120000123977661,22
0.2120000123977661,22
0.21900001168251038,33
0.2290000170469284,50
0.23600001633167267,63
0.2510000169277191,89
0.2630000114440918,110
0.27300000190734863,127
